Total Reads                   34597897
Total Tags                    38537047
Total Assigned Tags           12786071
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           5533545             5137868             928.49            
5'UTR_Exons         867788              246936              284.56            
3'UTR_Exons         5273334             2039800             386.81            
Introns             137074997           2729422             19.91             
TSS_up_1kb          3384361             124994              36.93             
TSS_up_5kb          16336993            503804              30.84             
TSS_up_10kb         31930965            935154              29.29             
TES_down_1kb        3524561             240332              68.19             
TES_down_5kb        16813800            1031016             61.32             
TES_down_10kb       32612596            1696891             52.03             
=====================================================================
