Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Sample_geo_accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tumor_Stage
SRR6703961,RNA-Seq,100,2051523900,PRJNA433678,SAMN08513906,1397167087,B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678118,GSM2991062,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991062,B cell PBL,SRP132594,healthy
SRR6703962,RNA-Seq,100,2221379400,PRJNA433678,SAMN08513908,1505016991,B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678119,GSM2991063,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991063,B cell PBL,SRP132594,healthy
SRR6703964,RNA-Seq,100,3221923600,PRJNA433678,SAMN08513909,2181585774,B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678121,GSM2991065,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991065,B cell PBL,SRP132594,healthy
SRR6703965,RNA-Seq,100,2189270400,PRJNA433678,SAMN08513910,1474235720,B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678122,GSM2991066,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991066,B cell PBL,SRP132594,healthy
SRR6703966,RNA-Seq,100,2246526900,PRJNA433678,SAMN08513912,1514556387,B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678123,GSM2991067,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991067,B cell PBL,SRP132594,healthy
SRR6703968,RNA-Seq,100,3038863100,PRJNA433678,SAMN08513913,2046377117,B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678125,GSM2991069,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991069,B cell PBL,SRP132594,healthy
SRR6703972,RNA-Seq,50,1022996100,PRJNA433678,SAMN08514189,655515525,CD4+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678129,GSM2991073,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991073,CD4+ PBL,SRP132594,healthy
SRR6703973,RNA-Seq,102,2499315996,PRJNA433678,SAMN08514187,1695086190,CD4+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678130,GSM2991074,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991074,CD4+ PBL,SRP132594,healthy
SRR6703975,RNA-Seq,102,2506640616,PRJNA433678,SAMN08514207,1692848812,CD4+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678132,GSM2991076,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991076,CD4+ PBL,SRP132594,healthy
SRR6703977,RNA-Seq,102,1744738458,PRJNA433678,SAMN08514205,1147990305,CD4+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3678134,GSM2991078,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-02-13T00:00:00Z,GSM2991078,CD4+ PBL,SRP132594,healthy
