Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc
SRR6703969_time_101SR_1	9.090909090909092	51.0	24666240.0	13.726980161444828	48.0
SRR6703969_time_101SR_1_fastqc | SRR6703969_time_101SR_1	9.090909090909092	51.0	24666240.0	13.726980161444828	48.0
SRR6703969_time_101SR_1_val_1	9.090909090909092	50.78157363393905	24381617.0	13.228601122288126	48.0
SRR6703969_time_101SR_2	9.090909090909092	51.0	24666240.0	13.34949042980594	48.0
SRR6703969_time_101SR_2_fastqc | SRR6703969_time_101SR_2	9.090909090909092	51.0	24666240.0	13.34949042980594	48.0
SRR6703969_time_101SR_2_val_2	9.090909090909092	50.60415365395987	24381617.0	13.009430887502205	48.0
SRR6703970_time_101FR_1	9.090909090909092	50.0	23243349.0	37.883396963082774	48.0
SRR6703970_time_101FR_1_fastqc | SRR6703970_time_101FR_1	9.090909090909092	50.0	23243349.0	37.883396963082774	48.0
SRR6703970_time_101FR_1_val_1	9.090909090909092	49.78587255964253	23052258.0	37.25730011714929	48.0
SRR6703970_time_101FR_2	9.090909090909092	50.0	23243349.0	37.13056954234093	48.0
SRR6703970_time_101FR_2_fastqc | SRR6703970_time_101FR_2	9.090909090909092	50.0	23243349.0	37.13056954234093	48.0
SRR6703970_time_101FR_2_val_2	9.090909090909092	49.608052972511416	23052258.0	36.57822498689101	48.0
SRR6703971_time_103SR_1	9.090909090909092	51.0	18381068.0	10.470336135913357	48.0
SRR6703971_time_103SR_1_fastqc | SRR6703971_time_103SR_1	9.090909090909092	51.0	18381068.0	10.470336135913357	48.0
SRR6703971_time_103SR_1_val_1	9.090909090909092	50.7840295916241	18168114.0	10.090639836824039	48.0
SRR6703971_time_103SR_2	9.090909090909092	51.0	18381068.0	10.140622818206339	48.0
SRR6703971_time_103SR_2_fastqc | SRR6703971_time_103SR_2	9.090909090909092	51.0	18381068.0	10.140622818206339	48.0
SRR6703971_time_103SR_2_val_2	9.090909090909092	50.612128809847846	18168114.0	9.841237814151441	48.0
SRR6703972_time_103FR_1	10.0	49.55213270780797	20408445.0	30.339876431943196	48.0
SRR6703972_time_103FR_1_fastqc | SRR6703972_time_103FR_1	10.0	50.0	20459922.0	31.425028894306465	48.0
SRR6703973_time_104SR_1	9.090909090909092	51.0	24503098.0	12.422074541032117	48.0
SRR6703973_time_104SR_1_fastqc | SRR6703973_time_104SR_1	9.090909090909092	51.0	24503098.0	12.422074541032117	48.0
SRR6703973_time_104SR_1_val_1	9.090909090909092	50.76894678190828	24180386.0	11.977813690330336	48.0
SRR6703973_time_104SR_2	9.090909090909092	51.0	24503098.0	12.158972417668409	48.0
SRR6703973_time_104SR_2_fastqc | SRR6703973_time_104SR_2	9.090909090909092	51.0	24503098.0	12.158972417668409	48.0
