Sample	per_tile_sequence_quality	per_base_n_content	%GC	avg_sequence_length	File type	Total Sequences	per_base_sequence_quality	per_sequence_gc_content	Sequence length	basic_statistics	per_base_sequence_content	Sequences flagged as poor quality	sequence_duplication_levels	overrepresented_sequences	Encoding	total_deduplicated_percentage	adapter_content	sequence_length_distribution	per_sequence_quality_scores	Filename
SRR6703982_frozen_501_1	warn	pass	50.0	51.0	Conventional base calls	23244041.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.75842172245369	pass	pass	pass	SRR6703982_frozen_501_1.fastq.gz
SRR6703982_frozen_501_1_fastqc | SRR6703982_frozen_501_1	warn	pass	50.0	51.0	Conventional base calls	23244041.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	87.75842172245369	pass	pass	pass	SRR6703982_frozen_501_1.fastq.gz
SRR6703982_frozen_501_1_val_1	warn	pass	50.0	50.69539618211536	Conventional base calls	22876752.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	88.22516988254353	pass	warn	pass	SRR6703982_frozen_501_1_val_1.fq.gz
SRR6703982_frozen_501_2	pass	pass	50.0	51.0	Conventional base calls	23244041.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	88.1762467735761	pass	pass	pass	SRR6703982_frozen_501_2.fastq.gz
SRR6703982_frozen_501_2_fastqc | SRR6703982_frozen_501_2	pass	pass	50.0	51.0	Conventional base calls	23244041.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	88.1762467735761	pass	pass	pass	SRR6703982_frozen_501_2.fastq.gz
SRR6703982_frozen_501_2_val_2	pass	pass	49.0	50.48701555185806	Conventional base calls	22876752.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	88.50600016944652	pass	warn	pass	SRR6703982_frozen_501_2_val_2.fq.gz
SRR6703983_frozen_501f_1	warn	pass	48.0	51.0	Conventional base calls	22776583.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	85.71032361538461	pass	pass	pass	SRR6703983_frozen_501f_1.fastq.gz
SRR6703983_frozen_501f_1_fastqc | SRR6703983_frozen_501f_1	warn	pass	48.0	51.0	Conventional base calls	22776583.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	85.71032361538461	pass	pass	pass	SRR6703983_frozen_501f_1.fastq.gz
SRR6703983_frozen_501f_1_val_1	warn	pass	48.0	50.80126751354716	Conventional base calls	22549187.0	pass	pass	20-51	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	86.30383856518716	pass	warn	pass	SRR6703983_frozen_501f_1_val_1.fq.gz
SRR6703983_frozen_501f_2	warn	pass	48.0	51.0	Conventional base calls	22776583.0	pass	pass	51.0	pass	fail	0.0	pass	pass	Sanger / Illumina 1.9	86.02733035595955	pass	pass	pass	SRR6703983_frozen_501f_2.fastq.gz
