Sample	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
SRR6703982_frozen_501_1	23244041.0	12.24157827754631	51.0	9.090909090909092	50.0
SRR6703982_frozen_501_1_fastqc | SRR6703982_frozen_501_1	23244041.0	12.24157827754631	51.0	9.090909090909092	50.0
SRR6703982_frozen_501_1_val_1	22876752.0	11.774830117456474	50.69539618211536	9.090909090909092	50.0
SRR6703982_frozen_501_2	23244041.0	11.823753226423904	51.0	9.090909090909092	50.0
SRR6703982_frozen_501_2_fastqc | SRR6703982_frozen_501_2	23244041.0	11.823753226423904	51.0	9.090909090909092	50.0
SRR6703982_frozen_501_2_val_2	22876752.0	11.493999830553477	50.48701555185806	9.090909090909092	49.0
SRR6703983_frozen_501f_1	22776583.0	14.28967638461539	51.0	9.090909090909092	48.0
SRR6703983_frozen_501f_1_fastqc | SRR6703983_frozen_501f_1	22776583.0	14.28967638461539	51.0	9.090909090909092	48.0
SRR6703983_frozen_501f_1_val_1	22549187.0	13.696161434812836	50.80126751354716	9.090909090909092	48.0
SRR6703983_frozen_501f_2	22776583.0	13.972669644040451	51.0	9.090909090909092	48.0
SRR6703983_frozen_501f_2_fastqc | SRR6703983_frozen_501f_2	22776583.0	13.972669644040451	51.0	9.090909090909092	48.0
SRR6703983_frozen_501f_2_val_2	22549187.0	13.351424330315524	50.6273458107381	9.090909090909092	48.0
SRR6703984_frozen_506_1	21152467.0	12.31568986212433	51.0	9.090909090909092	49.0
SRR6703984_frozen_506_1_fastqc | SRR6703984_frozen_506_1	21152467.0	12.31568986212433	51.0	9.090909090909092	49.0
SRR6703984_frozen_506_1_val_1	20898745.0	11.92992060103515	50.79955978217831	9.090909090909092	49.0
SRR6703984_frozen_506_2	21152467.0	12.025481221566139	51.0	9.090909090909092	48.0
SRR6703984_frozen_506_2_fastqc | SRR6703984_frozen_506_2	21152467.0	12.025481221566139	51.0	9.090909090909092	48.0
SRR6703984_frozen_506_2_val_2	20898745.0	11.632763913776174	50.59048067240401	9.090909090909092	48.0
SRR6703985_frozen_506f_1	23859640.0	15.763439163901566	51.0	9.090909090909092	49.0
SRR6703985_frozen_506f_1_fastqc | SRR6703985_frozen_506f_1	23859640.0	15.763439163901566	51.0	9.090909090909092	49.0
SRR6703985_frozen_506f_1_val_1	23595125.0	15.406707344237773	50.80463065993505	9.090909090909092	49.0
SRR6703985_frozen_506f_2	23859640.0	15.381318146575168	51.0	9.090909090909092	49.0
SRR6703985_frozen_506f_2_fastqc | SRR6703985_frozen_506f_2	23859640.0	15.381318146575168	51.0	9.090909090909092	49.0
SRR6703985_frozen_506f_2_val_2	23595125.0	15.03146219510002	50.60150781146529	9.090909090909092	49.0
SRR6703986_frozen_507_1	22848230.0	11.140485156974094	51.0	18.181818181818183	49.0
SRR6703986_frozen_507_1_fastqc | SRR6703986_frozen_507_1	22848230.0	11.140485156974094	51.0	18.181818181818183	49.0
SRR6703986_frozen_507_1_val_1	22494631.0	10.771727945122805	50.76581905255525	18.181818181818183	49.0
SRR6703986_frozen_507_2	22848230.0	10.680530261787652	51.0	9.090909090909092	48.0
SRR6703986_frozen_507_2_fastqc | SRR6703986_frozen_507_2	22848230.0	10.680530261787652	51.0	9.090909090909092	48.0
SRR6703986_frozen_507_2_val_2	22494631.0	10.251807703857608	50.514696418003034	9.090909090909092	48.0
SRR6703987_frozen_507f_1	28174378.0	17.72936751762714	51.0	18.181818181818183	49.0
SRR6703987_frozen_507f_1_fastqc | SRR6703987_frozen_507f_1	28174378.0	17.72936751762714	51.0	18.181818181818183	49.0
SRR6703987_frozen_507f_1_val_1	27819223.0	17.126822588600305	50.77969629130188	18.181818181818183	48.0
SRR6703987_frozen_507f_2	28174378.0	17.137836879538952	51.0	9.090909090909092	48.0
SRR6703987_frozen_507f_2_fastqc | SRR6703987_frozen_507f_2	28174378.0	17.137836879538952	51.0	9.090909090909092	48.0
SRR6703987_frozen_507f_2_val_2	27819223.0	16.272699723542473	50.57466421689779	9.090909090909092	48.0
SRR6703988_frozen_510_1	23133279.0	13.010434474115684	51.0	9.090909090909092	49.0
SRR6703988_frozen_510_1_fastqc | SRR6703988_frozen_510_1	23133279.0	13.010434474115684	51.0	9.090909090909092	49.0
SRR6703988_frozen_510_1_val_1	22837288.0	12.597124883501337	50.78923951040071	9.090909090909092	49.0
SRR6703988_frozen_510_2	23133279.0	12.732485265011505	51.0	9.090909090909092	49.0
SRR6703988_frozen_510_2_fastqc | SRR6703988_frozen_510_2	23133279.0	12.732485265011505	51.0	9.090909090909092	49.0
SRR6703988_frozen_510_2_val_2	22837288.0	12.27455122782493	50.564305621578185	9.090909090909092	49.0
SRR6703989_frozen_510f_1	20812748.0	20.097175531394157	51.0	9.090909090909092	49.0
SRR6703989_frozen_510f_1_fastqc | SRR6703989_frozen_510f_1	20812748.0	20.097175531394157	51.0	9.090909090909092	49.0
SRR6703989_frozen_510f_1_val_1	20556253.0	19.719617806687708	50.798402023948626	9.090909090909092	48.0
SRR6703989_frozen_510f_2	20812748.0	19.317487394017235	51.0	9.090909090909092	48.0
SRR6703989_frozen_510f_2_fastqc | SRR6703989_frozen_510f_2	20812748.0	19.317487394017235	51.0	9.090909090909092	48.0
SRR6703989_frozen_510f_2_val_2	20556253.0	19.454917416553656	50.596456562390046	9.090909090909092	48.0
