Sample	bp_processed	percent_trimmed	bp_written	r_processed	r_with_adapters	quality_trimmed
SRR6703961_concentration_1_rep1_1	1025761950	0.7237186951611921	1018338319	20515239	49878	6198353
SRR6703961_concentration_1_rep1_2	1025761950	1.7704202227427135	1007601653	20515239	38511	17499314
SRR6703962_concentration_100_rep1_1	1110689700	1.028549107820123	1099265711	22213794	132126	6315546
SRR6703962_concentration_100_rep1_2	1110689700	2.078720636375758	1087601564	22213794	80528	20726887
SRR6703963_concentration_250_rep1_1	1412180300	0.8406250958181473	1400309158	28243606	114305	8028456
SRR6703963_concentration_250_rep1_2	1412180300	1.826655137449517	1386384636	28243606	89581	23277919
SRR6703964_concentration_500_rep1_1	18871250	1.3716844406173412	18612396	377425	3795	98207
SRR6703964_concentration_500_rep1_2	18871250	2.1337590249718486	18468583	377425	3014	280262
SRR6703965_concentration_1_rep2_1	20480050	0.5204088857204938	20373470	409601	928	83305
SRR6703965_concentration_1_rep2_2	20480050	1.1902900627684014	20236278	409601	773	228742
SRR6703966_concentration_100_rep2_1	1123263450	1.0205978837822953	1111799447	22465269	141185	5838458
SRR6703966_concentration_100_rep2_2	1123263450	2.0097286170933453	1100688903	22465269	103385	19003659
SRR6703967_concentration_100_rep2_1	1547322750	0.8443840174908565	1534257404	30946455	146733	7744219
SRR6703967_concentration_100_rep2_2	1547322750	1.7284586554421177	1520577916	30946455	111660	23310559
SRR6703968_concentration_500_rep2_1	1519431550	1.0489558414131916	1503493384	30388631	207101	7712670
SRR6703968_concentration_500_rep2_2	1519431550	1.9671703539392742	1489541743	30388631	149874	24715387
SRR6703969_time_101SR_1	1257978240	0.5763405732677856	1250728001	24666240	54623	5980835
SRR6703969_time_101SR_2	1257978240	1.7772964022016786	1235620238	24666240	42539	21699817
SRR6703970_time_101FR_1	1162167450	0.5755691230209554	1155478373	23243349	51158	5566748
SRR6703970_time_101FR_2	1162167450	1.4564329778811134	1145241260	23243349	42768	16245817
SRR6703971_time_103SR_1	937434468	0.6225902928928788	931598092	18381068	47561	4433713
SRR6703971_time_103SR_2	937434468	1.7674892022425615	920865415	18381068	30874	16040456
SRR6703972_time_103FR_1	1022996100	1.1172822652989587	1011566346	20459922	49448	10136402
SRR6703973_time_104SR_1	1249657998	0.7203828579025348	1240655676	24503098	82952	6272335
SRR6703973_time_104SR_2	1249657998	1.99186297689746	1224766523	24503098	65788	23057757
SRR6703974_time_104FR_1	1277111100	0.7161071577876036	1267965616	25542222	86260	6461774
SRR6703974_time_104FR_2	1277111100	1.7095787516058705	1255277880	25542222	72744	19874764
SRR6703975_time_107SR_1	1253320308	0.5423021518614058	1246523525	24574908	52618	5641029
SRR6703975_time_107SR_2	1253320308	1.687108065275202	1232175440	24574908	46765	20301488
SRR6703976_time_107FR_1	1216220100	0.5347872478016109	1209715910	24324402	52018	5438163
SRR6703976_time_107FR_2	1216220100	1.3934709679604866	1199272426	24324402	47008	16127030
SRR6703977_time_107SRN_1	872369229	0.4024432411519641	868858438	17105279	22007	3296661
SRR6703977_time_107SRN_2	872369229	1.3096631128423262	860944131	17105279	20857	11253988
SRR6703978_time_109SR_1	835354857	0.5783382905499764	830523680	16379507	35577	3905142
SRR6703978_time_109SR_2	835354857	1.6839449584956443	821287941	16379507	24804	13693761
SRR6703979_time_109FR_1	1355599300	1.1143157126150773	1340493644	27111986	54652	13882720
SRR6703980_time_110SR_1	825032202	0.7593309673020496	818767477	16177102	64941	3852117
SRR6703980_time_110SR_2	825032202	1.9802715530853907	808694324	16177102	33034	15623394
SRR6703981_time_110FR_1	1766240950	1.2296795632555118	1744521846	35324819	122811	17592411
SRR6703982_frozen_501_1	1185446091	0.7579829288078525	1176460612	23244041	30463	8663297
SRR6703982_frozen_501_2	1185446091	2.3655332125938067	1157403970	23244041	28162	27827183
SRR6703983_frozen_501f_1	1161605733	0.4894492028131201	1155920263	22776583	29303	5402556
SRR6703983_frozen_501f_2	1161605733	1.5808755482442167	1143242192	22776583	27544	18148643
SRR6703984_frozen_506_1	1078775817	0.5269640745014957	1073091056	21152467	29660	5332588
SRR6703984_frozen_506_2	1078775817	1.8315576497577348	1059017416	21152467	27493	19509439
SRR6703985_frozen_506f_1	1216841640	0.4947680784493864	1210821096	23859640	33610	5621922
SRR6703985_frozen_506f_2	1216841640	1.7383769838777048	1195688345	23859640	31315	20865470
SRR6703986_frozen_507_1	1165259730	0.6630066071192557	1157533981	22848230	39475	7000754
SRR6703986_frozen_507_2	1165259730	2.276648314277539	1138730864	22848230	31513	26189905
SRR6703987_frozen_507f_1	1436893278	0.6180660829843482	1428012328	28174378	49698	7878497
SRR6703987_frozen_507f_2	1436893278	1.9176253673030268	1409339048	28174378	37924	27155898
SRR6703988_frozen_510_1	1179797229	0.5815412031282199	1172936222	23133279	39501	6144646
SRR6703988_frozen_510_2	1179797229	1.950323956897512	1156787361	23133279	32297	22658099
SRR6703989_frozen_510f_1	1061450148	0.5353547701422526	1055767624	20812748	28013	5297438
SRR6703989_frozen_510f_2	1061450148	1.849510411486607	1041818517	20812748	24939	19394121
