Sample	tss_up_5kb_total_bases	tes_down_1kb_tags_kb	3_utr_exons_tag_pct	tss_up_1kb_tag_count	tes_down_5kb_tags_kb	tes_down_5kb_tag_count	introns_total_bases	tss_up_10kb_tags_kb	tes_down_10kb_tag_count	tes_down_5kb_tag_pct	cds_exons_total_bases	tss_up_5kb_tag_pct	tes_down_1kb_tag_pct	cds_exons_tag_pct	total_assigned_tags	other_intergenic_tag_count	introns_tag_count	5_utr_exons_tag_pct	3_utr_exons_total_bases	tes_down_1kb_total_bases	introns_tags_kb	tss_up_10kb_tag_pct	tes_down_5kb_total_bases	tes_down_10kb_tags_kb	introns_tag_pct	tss_up_5kb_tags_kb	5_utr_exons_tag_count	tes_down_1kb_tag_count	total_reads	5_utr_exons_total_bases	3_utr_exons_tag_count	tss_up_10kb_tag_count	tss_up_1kb_total_bases	cds_exons_tag_count	total_tags	3_utr_exons_tags_kb	tss_up_1kb_tag_pct	tes_down_10kb_tag_pct	tes_down_10kb_total_bases	other_intergenic_tag_pct	tss_up_10kb_total_bases	tss_up_5kb_tag_count	tss_up_1kb_tags_kb	5_utr_exons_tags_kb	cds_exons_tags_kb
SRR6703969	16336993	311449.0	5.014708404578913	175744	1379574.0	1379574	137074997	1342273.0	2260950	2.553557320834759	5533545	1.379367112323508	0.5764843886711875	14.439387538945908	17846850	36178724	3341908	0.724716039111403	5273334	3524561	3341908.0	2.484514093269976	16813800	2260950.0	6.185788974680769	745211.0	391532	311449	47696155	867788	2709225	1342273	3384361	7800962	54025574	2709225.0	0.325297793226593	4.184962477214958	32612596	66.96592247219807	31930965	745211	175744.0	391532.0	7800962.0
SRR6703970	16336993	296290.0	5.039134236711721	167059	1308083.0	1308083	137074997	1254119.0	2138187	2.5770979679354884	5533545	1.3619334967690304	0.5837308159494511	14.466502167097453	16808683	33949302	3140709	0.7388000134363095	5273334	3524561	3140709.0	2.4707816908019495	16813800	2138187.0	6.187615603732103	691290.0	375000	296290	44944824	867788	2557763	1254119	3384361	7342905	50757985	2557763.0	0.3291285105190838	4.2125135582115805	32612596	66.88465273000888	31930965	691290	167059.0	375000.0	7342905.0
SRR6703971	16336993	225852.0	5.085311136123571	114843	990227.0	990227	137074997	953250.0	1649211	2.492531921510996	5533545	1.2717003195448542	0.5684992628327661	13.362924399757187	12917015	26810741	2708362	0.6975526128382383	5273334	3524561	2708362.0	2.399455937053178	16813800	1649211.0	6.81730425448646	505218.0	277122	225852	35550252	867788	2020280	953250	3384361	5308790	39727756	2020280.0	0.28907497317492586	4.151281537270819	32612596	67.48617012247054	31930965	505218	114843.0	277122.0	5308790.0
SRR6703972	16336993	125248.0	5.024650344509543	64819	549117.0	549117	137074997	501755.0	919352	2.4614349770960504	5533545	1.187458805523341	0.5614282712269446	13.072683911149744	7154964	15153852	1544508	0.6815601509286732	5273334	3524561	1544508.0	2.2491332574530176	16813800	919352.0	6.923307807998416	264908.0	152048	125248	20076721	867788	1120940	501755	3384361	2916361	22308816	1120940.0	0.29055329516366984	4.121025517445659	32612596	67.92763901051495	31930965	264908	64819.0	152048.0	2916361.0
SRR6703973	16336993	291867.0	4.844478458641507	159861	1298143.0	1298143	137074997	1244902.0	2146182	2.4596307830150774	5533545	1.2896936035536952	0.5530092276014751	13.154839135319396	16785959	35992003	3541114	0.6709012371489449	5273334	3524561	3541114.0	2.3587534509195334	16813800	2146182.0	6.709455738362917	680674.0	354088	291867	47234066	867788	2556817	1244902	3384361	6942856	52777962	2556817.0	0.30289346905816483	4.066435911261598	32612596	68.1951360683461	31930965	680674	159861.0	354088.0	6942856.0
SRR6703974	16336993	306294.0	4.833157400415177	166472	1362905.0	1362905	137074997	1288175.0	2248356	2.487041891401832	5533545	1.2729870559150622	0.558928178475413	13.195417764844583	17459019	37341224	3667209	0.6853546251610599	5273334	3524561	3667209.0	2.3506738829607015	16813800	2248356.0	6.691957552086038	697600.0	375576	306294	49165325	867788	2648582	1288175	3384361	7231121	54800243	2648582.0	0.3037796748456024	4.102821222891293	32612596	68.14061755164114	31930965	697600	166472.0	375576.0	7231121.0
SRR6703975	16336993	316783.0	5.580586420347301	182706	1386011.0	1386011	137074997	1387810.0	2227041	2.5389392985647836	5533545	1.4026850517141742	0.5802932356361152	15.815764522686223	18483455	36106704	2739119	0.822827792093443	5273334	3524561	2739119.0	2.5422347643281276	16813800	2227041.0	5.017605828918725	765728.0	449183	316783	47696844	867788	3046451	1387810	3384361	8633851	54590159	3046451.0	0.33468669691912784	4.079564963348064	32612596	66.14141570827812	31930965	765728	182706.0	449183.0	8633851.0
SRR6703976	16336993	314054.0	5.579578736366538	182805	1380074.0	1380074	137074997	1362797.0	2215409	2.562224937622451	5533545	1.3816892578426987	0.5830680025564435	15.834465974066328	18260164	35602164	2695207	0.8403795691860924	5273334	3524561	2695207.0	2.530148715443566	16813800	2215409.0	5.003881376980216	744210.0	452648	314054	47208104	867788	3005291	1362797	3384361	8528812	53862328	3005291.0	0.33939305408410864	4.113095520119368	32612596	66.09845010783789	31930965	744210	182805.0	452648.0	8528812.0
SRR6703977	16336993	213690.0	5.700847316729434	118735	925212.0	925212	137074997	923194.0	1485251	2.4358680872904594	5533545	1.31523586503328	0.5625960877864731	14.89723057869941	12600014	25382831	2058003	0.8157103555565678	5273334	3524561	2058003.0	2.4305551624687407	16813800	1485251.0	5.418243420154546	499564.0	309830	213690	33459562	867788	2165344	923194	3384361	5658392	37982845	2165344.0	0.3126016495078239	3.9103205670875893	32612596	66.82709259930371	31930965	499564	118735.0	309830.0	5658392.0
SRR6703978	16336993	198835.0	5.239152743055729	118478	861204.0	861204	137074997	871289.0	1404348	2.397522601180788	5533545	1.356498178940824	0.5535406319591898	14.506194346143475	11685362	24235217	2055362	0.7286074091400364	5273334	3524561	2055362.0	2.4255984292458095	16813800	1404348.0	5.721962332511399	487262.0	261720	198835	31786660	867788	1881934	871289	3384361	5210709	35920579	1881934.0	0.32983321343456073	3.909591769108176	32612596	67.46889297079538	31930965	487262	118478.0	261720.0	5210709.0
