Sample	avg_input_read_length	uniquely_mapped_percent	num_GTAG_splices	uniquely_mapped	deletion_rate	mismatch_rate	insertion_length	unmapped_tooshort	multimapped_toomany_percent	unmapped_other	avg_mapped_read_length	num_splices	unmapped_tooshort_percent	multimapped	total_reads	num_noncanonical_splices	num_ATAC_splices	num_annotated_splices	unmapped_mismatches_percent	unmapped_other_percent	deletion_length	multimapped_toomany	unmapped_mismatches	insertion_rate	num_GCAG_splices	multimapped_percent
SRR6703961_concentration_1_rep1_1_val_1	99.0	77.9	3811491.0	15831329.0	0.01	0.18	1.27	466930	0.19	22331	99.05	3849059.0	2.3	3962929.0	20322025.0	5685.0	3416.0	3804719.0	0.0	0.11	1.51	38506.0	0	0.0	28467.0	19.5
SRR6703962_concentration_100_rep1_1_val_1	99.0	82.41	4506732.0	18067804.0	0.0	0.19	1.27	488104	0.19	24185	99.04	4550494.0	2.22	3303670.0	21924595.0	6379.0	4009.0	4499617.0	0.0	0.11	1.52	40832.0	0	0.0	33374.0	15.07
SRR6703963_concentration_250_rep1_1_val_1	99.0	81.73	5721113.0	22844055.0	0.0	0.18	1.26	571857	0.19	33475	99.05	5777075.0	2.05	4448789.0	27951519.0	8331.0	5013.0	5711631.0	0.0	0.12	1.52	53343.0	0	0.0	42618.0	15.92
SRR6703964_concentration_500_rep1_1_val_1	99.0	79.79	74451.0	296679.0	0.01	0.14	1.27	7995	0.2	446	99.18	75198.0	2.15	65954.0	371817.0	106.0	63.0	74374.0	0.0	0.12	1.55	743.0	0	0.0	578.0	17.74
SRR6703965_concentration_1_rep2_1_val_1	99.0	85.17	86084.0	346714.0	0.01	0.14	1.27	9124	0.18	529	99.22	86964.0	2.24	49963.0	407080.0	133.0	80.0	85969.0	0.0	0.13	1.59	750.0	0	0.0	667.0	12.27
SRR6703966_concentration_100_rep2_1_val_1	99.0	84.4	4544142.0	18715408.0	0.0	0.18	1.26	503360	0.19	28827	99.09	4588785.0	2.27	2884865.0	22173962.0	6402.0	3995.0	4538118.0	0.0	0.13	1.52	41502.0	0	0.0	34246.0	13.01
SRR6703967_concentration_100_rep2_1_val_1	99.0	84.85	6461267.0	25991020.0	0.0	0.18	1.26	626243	0.19	39713	99.09	6524389.0	2.05	3916735.0	30631534.0	9182.0	5765.0	6453434.0	0.0	0.13	1.52	57823.0	0	0.0	48175.0	12.79
SRR6703968_concentration_500_rep2_1_val_1	99.0	84.98	6405151.0	25497157.0	0.0	0.18	1.27	629433	0.19	38965	99.08	6467500.0	2.1	3782832.0	30005221.0	9056.0	5492.0	6396671.0	0.0	0.13	1.52	56834.0	0	0.0	47801.0	12.61
SRR6703969_time_101SR_1_val_1	101.0	84.86	5603339.0	20690829.0	0.0	0.16	1.29	455323	0.17	29219	101.11	5653002.0	1.87	3165082.0	24381617.0	7134.0	4498.0	5580784.0	0.0	0.12	1.48	41164.0	0	0.0	38031.0	12.98
SRR6703970_time_101FR_1_val_1	99.0	84.89	5157736.0	19570003.0	0.0	0.16	1.28	509126	0.16	25456	99.14	5203315.0	2.2	2910369.0	23052258.0	6317.0	4103.0	5139543.0	0.0	0.11	1.49	37304.0	0	0.0	35159.0	12.63
