"","Sample","factor","donor","avg_input_read_length","uniquely_mapped_percent","num_GTAG_splices","uniquely_mapped","deletion_rate","mismatch_rate","insertion_length","unmapped_tooshort","multimapped_toomany_percent","unmapped_other","avg_mapped_read_length","num_splices","unmapped_tooshort_percent","multimapped","total_reads","num_noncanonical_splices","num_ATAC_splices","num_annotated_splices","unmapped_mismatches_percent","unmapped_other_percent","deletion_length","multimapped_toomany","unmapped_mismatches","insertion_rate","num_GCAG_splices","multimapped_percent"
"9","SRR6703969","time","101SR",101,84.86,5603339,20690829,0,0.16,1.29,455323,0.17,29219,101.11,5653002,1.87,3165082,24381617,7134,4498,5580784,0,0.12,1.48,41164,0,0,38031,12.98
"10","SRR6703970","time","101FR",99,84.89,5157736,19570003,0,0.16,1.28,509126,0.16,25456,99.14,5203315,2.2,2910369,23052258,6317,4103,5139543,0,0.11,1.49,37304,0,0,35159,12.63
"11","SRR6703971","time","103SR",101,85.15,3716112,15469453,0,0.16,1.34,327138,0.21,21809,101.1,3751825,1.8,2312206,18168114,5823,3195,3710193,0,0.12,1.5,37508,0,0,26695,12.73
"12","SRR6703972","time","103FR",49,80.63,1755548,16456093,0,0.18,1.31,71100,0.79,99541,49.49,1773045,0.35,3620628,20408445,3133,1662,1750142,0,0.49,1.49,161083,0,0,12702,17.74
"13","SRR6703973","time","104SR",101,82.81,4883773,20023390,0.01,0.16,1.29,484352,0.18,26639,101.08,4927985,2,3601989,24180386,6844,3933,4869705,0,0.11,1.48,44016,0,0,33435,14.9
"14","SRR6703974","time","104FR",99,82.71,4974697,20904412,0,0.15,1.28,610303,0.18,27856,99.14,5019786,2.41,3687945,25274915,6722,4134,4963263,0,0.11,1.49,44399,0,0,34233,14.59
"15","SRR6703975","time","107SR",101,85.75,6110835,20851231,0,0.15,1.28,402357,0.14,24238,101.11,6164779,1.66,3004590,24317242,7256,5044,6102429,0,0.1,1.47,34826,0,0,41644,12.36
"16","SRR6703976","time","107FR",99,85.77,5904967,20702381,0,0.15,1.27,470021,0.14,21693,99.16,5956426,1.95,2909740,24137569,6796,4889,5898806,0,0.09,1.47,33734,0,0,39774,12.05
"17","SRR6703977","time","107SRN",101,85.37,4008358,14490256,0.01,0.14,1.31,200884,0.14,15322,101.26,4042825,1.18,2244130,16973946,4075,3319,4002787,0,0.09,1.47,23354,0,0,27073,13.22
"18","SRR6703978","time","109SR",101,83.54,3671944,13536697,0,0.15,1.34,262254,0.17,16188,101.11,3705256,1.62,2362021,16204507,4887,2900,3664836,0,0.1,1.5,27347,0,0,25525,14.58
"19","SRR6703979","time","109FR",49,78.07,2494297,21121730,0,0.17,1.33,86521,0.79,110855,49.48,2517735,0.32,5521368,27054391,3837,2284,2485155,0,0.41,1.48,213917,0,0,17317,20.41
"20","SRR6703980","time","110SR",101,86.14,3356965,13741032,0,0.16,1.33,315356,0.2,19113,101.09,3388626,1.98,1845674,15952672,5462,2971,3350435,0,0.12,1.51,31497,0,0,23228,11.57
"21","SRR6703981","time","110FR",49,80.85,2997455,28464255,0,0.18,1.3,126828,0.88,172627,49.46,3027234,0.36,6133642,35205493,5606,2854,2986986,0,0.49,1.48,308141,0,0,21319,17.42
"22","SRR6703982","frozen","501",101,79.6,4907049,18210959,0,0.17,1.33,413070,0.18,25104,101,4949882,1.81,4186933,22876752,5058,3923,4899048,0,0.11,1.46,40686,0,0,33852,18.3
"23","SRR6703983","frozen","501f",101,85.88,5043914,19365190,0,0.17,1.29,315989,0.19,27085,101.2,5088356,1.4,2798284,22549187,6134,4096,5029529,0,0.12,1.46,42639,0,0,34212,12.41
"24","SRR6703984","frozen","506",101,81.94,4624130,17125328,0,0.16,1.33,366318,0.17,23026,101.17,4664316,1.75,3349054,20898745,4862,3688,4616109,0,0.11,1.47,35019,0,0,31636,16.03
"25","SRR6703985","frozen","506f",101,84.69,5519793,19983108,0,0.16,1.3,341022,0.18,28418,101.17,5567974,1.44,3198976,23595125,6310,4382,5499472,0,0.12,1.46,43601,0,0,37489,13.56
"26","SRR6703986","frozen","507",101,80.54,4449143,18117847,0,0.18,1.34,499195,0.17,26984,101.04,4488968,2.22,3812636,22494631,5304,3485,4441170,0,0.12,1.48,37969,0,0,31036,16.95
"27","SRR6703987","frozen","507f",101,84.39,5773205,23476251,0,0.18,1.33,409585,0.16,30649,101.12,5823367,1.47,3858807,27819223,6636,4537,5757138,0,0.11,1.47,43931,0,0,38989,13.87
"28","SRR6703988","frozen","510",101,83.8,4851359,19136855,0,0.15,1.33,443894,0.2,29745,101.11,4894579,1.94,3180627,22837288,5516,3866,4841630,0,0.13,1.46,46167,0,0,33838,13.93
"29","SRR6703989","frozen","510f",101,84.22,3579200,17313437,0,0.16,1.32,392006,0.18,24758,101.16,3610724,1.9,2788738,20556253,4370,2809,3567007,0,0.12,1.45,37314,0,0,24345,13.57
