"","Sample","factor","donor","uniquely_mapped","uniquely_mapped_percent"
"9","SRR6703969","time","101SR",20690829,84.86
"10","SRR6703970","time","101FR",19570003,84.89
"11","SRR6703971","time","103SR",15469453,85.15
"12","SRR6703972","time","103FR",16456093,80.63
"13","SRR6703973","time","104SR",20023390,82.81
"14","SRR6703974","time","104FR",20904412,82.71
"15","SRR6703975","time","107SR",20851231,85.75
"16","SRR6703976","time","107FR",20702381,85.77
"17","SRR6703977","time","107SRN",14490256,85.37
"18","SRR6703978","time","109SR",13536697,83.54
"19","SRR6703979","time","109FR",21121730,78.07
"20","SRR6703980","time","110SR",13741032,86.14
"21","SRR6703981","time","110FR",28464255,80.85
"22","SRR6703982","frozen","501",18210959,79.6
"23","SRR6703983","frozen","501f",19365190,85.88
"24","SRR6703984","frozen","506",17125328,81.94
"25","SRR6703985","frozen","506f",19983108,84.69
"26","SRR6703986","frozen","507",18117847,80.54
"27","SRR6703987","frozen","507f",23476251,84.39
"28","SRR6703988","frozen","510",19136855,83.8
"29","SRR6703989","frozen","510f",17313437,84.22
